Subject Name,Characteristics,Lab Subject,Type of Subject,Duration,Requirements,Learning Background,Learning Style,Learning Ability,Teacher Experience,Teaching Pattern,Lab Facility
Manufacturing Processes,Design-oriented,Yes,Elective,10,Theoretical,PG,Visual,Low,Experienced,Discipline-Centered,Available
Engineering Mechanics,Experimental,No,Core,10,Lab,PhD,Abstract,Low,Experienced,Executive,Available
Manufacturing Processes,Design-oriented,Yes,Core,10,Lab,PhD,Intuitive,Medium,Experienced,Liberal,Available
Fluid Mechanics,Design-oriented,Yes,Elective,20,Lab,PhD,Field-Independent,Low,New,Peer Teaching,Available
Thermodynamics,Analytical,Yes,Elective,20,Lab,PhD,Global,High,Experienced,Liberal,Available
Thermodynamics,Design-oriented,Yes,Elective,20,Theoretical,PG,Intuitive,Medium,Experienced,Teacher-Centered,Not Available
Computer-Aided Design (CAD),Design-oriented,No,Core,50,Lab,PG,Field-Independent,Medium,Intermediate,Local,Available
Thermodynamics,Design-oriented,Yes,Elective,20,Lab,PG,Concrete,Medium,New,Legislative,Not Available
Manufacturing Processes,Design-oriented,No,Elective,40,Lab,PG,Field-Independent,Medium,New,Socratic,Available
Engineering Mechanics,Design-oriented,Yes,Elective,50,Lab,PG,Global,High,New,Executive,Not Available
Mechanics of Materials,Analytical,No,Core,30,Theoretical,UG,Field-Independent,Low,Intermediate,Formal Authority,Not Available
Fluid Mechanics,Experimental,Yes,Core,50,Lab,PhD,Field-Dependent,Low,Experienced,Student-Centered,Available
Thermodynamics,Design-oriented,No,Core,50,Theoretical,PG,Field-Independent,Medium,Intermediate,Facilitator,Available
Heat Transfer,Design-oriented,No,Core,10,Theoretical,PG,Global,High,Experienced,Teacher-Centered,Available
Mechatronics,Design-oriented,No,Core,10,Lab,PhD,Abstract,Medium,Intermediate,Problem Solving,Available
Engineering Mechanics,Design-oriented,No,Core,30,Lab,PhD,Abstract,High,Intermediate,Delegator,Not Available
Mechatronics,Experimental,Yes,Elective,40,Lab,UG,Impulsive,High,Intermediate,Direct Teaching,Available
Engineering Mechanics,Analytical,Yes,Core,40,Lab,PhD,Sequential,High,Experienced,Legislative,Available
Computer-Aided Design (CAD),Experimental,Yes,Core,50,Theoretical,PhD,Reflective,High,Experienced,Problem Solving,Not Available
Thermodynamics,Experimental,Yes,Elective,10,Lab,UG,Kinesthetic,Medium,Experienced,Local,Not Available
Engineering Mechanics,Analytical,No,Core,50,Theoretical,PG,Reflective,Medium,Intermediate,Executive,Not Available
Mechanics of Materials,Experimental,Yes,Elective,30,Lab,UG,Tactile,High,New,Personal Model,Not Available
Fluid Mechanics,Experimental,No,Core,20,Lab,PhD,Abstract,Low,New,Student-Centered,Available
Control Systems,Experimental,No,Core,50,Theoretical,PG,Reflective,Low,Experienced,Delegator,Not Available
Control Systems,Analytical,No,Elective,20,Theoretical,PhD,Tactile,High,Intermediate,Group Approach,Not Available
Mechatronics,Experimental,No,Elective,30,Lab,PG,Visual,Medium,New,Group Approach,Available
Computer-Aided Design (CAD),Analytical,No,Core,10,Lab,PG,Visual,High,Experienced,Legislative,Not Available
Control Systems,Analytical,No,Elective,10,Theoretical,UG,Active,Medium,Intermediate,Facilitator,Not Available
Engineering Mechanics,Experimental,No,Elective,50,Theoretical,PG,Impulsive,High,New,Local,Available
Machine Design,Analytical,No,Elective,30,Lab,PG,Concrete,Medium,Intermediate,Global,Not Available
Engineering Mechanics,Design-oriented,No,Core,10,Lab,PG,Concrete,Medium,Intermediate,Peer Teaching,Available
Manufacturing Processes,Analytical,Yes,Elective,20,Lab,PG,Kinesthetic,Low,Experienced,Facilitator,Available
Engineering Mechanics,Experimental,Yes,Elective,50,Lab,PG,Kinesthetic,Low,New,Problem Solving,Not Available
Heat Transfer,Experimental,No,Core,30,Lab,PG,Concrete,High,Experienced,Executive,Not Available
Mechatronics,Design-oriented,No,Core,40,Lab,UG,Concrete,High,Experienced,Judicial,Not Available
Computer-Aided Design (CAD),Analytical,No,Elective,40,Lab,PG,Kinesthetic,Low,Experienced,Socratic,Not Available
Mechatronics,Experimental,No,Core,50,Theoretical,PG,Global,Medium,Intermediate,Facilitative,Available
Mechatronics,Analytical,Yes,Core,40,Theoretical,PhD,Field-Dependent,Medium,Intermediate,Facilitator,Not Available
Mechanics of Materials,Analytical,Yes,Elective,10,Theoretical,PG,Abstract,Low,Experienced,Indirect Teaching,Available
Manufacturing Processes,Design-oriented,No,Elective,20,Theoretical,PhD,Intuitive,Low,Experienced,Facilitative,Not Available
Thermodynamics,Experimental,Yes,Core,50,Lab,PG,Tactile,Medium,Intermediate,Indirect Teaching,Not Available
Thermodynamics,Experimental,Yes,Elective,30,Theoretical,PG,Active,Low,New,Liberal,Not Available
Thermodynamics,Design-oriented,Yes,Core,30,Lab,PhD,Active,High,Experienced,Executive,Not Available
Control Systems,Experimental,No,Core,50,Theoretical,PG,Global,Medium,Intermediate,Problem Solving,Not Available
Heat Transfer,Experimental,Yes,Core,10,Theoretical,UG,Kinesthetic,Low,New,Personal Model,Available
Machine Design,Analytical,No,Core,10,Lab,UG,Abstract,Low,Experienced,Student-Centered,Not Available
Computer-Aided Design (CAD),Experimental,Yes,Elective,20,Theoretical,PhD,Field-Independent,Medium,New,Delegator,Available
Engineering Mechanics,Analytical,No,Core,10,Theoretical,PhD,Active,Low,Experienced,Executive,Available
Mechatronics,Design-oriented,No,Elective,10,Lab,PG,Visual,Low,New,Indirect Teaching,Not Available
Fluid Mechanics,Analytical,Yes,Core,20,Theoretical,UG,Concrete,High,New,Teacher-Centered,Not Available
Thermodynamics,Experimental,No,Core,10,Theoretical,UG,Kinesthetic,Low,New,Local,Not Available
Thermodynamics,Analytical,Yes,Core,50,Theoretical,PhD,Visual,High,Intermediate,Liberal,Available
Thermodynamics,Design-oriented,No,Elective,50,Theoretical,PhD,Visual,Medium,Intermediate,Discipline-Centered,Available
Heat Transfer,Experimental,Yes,Core,20,Theoretical,UG,Active,Medium,Experienced,Conservative,Available
Mechatronics,Design-oriented,Yes,Elective,50,Theoretical,PG,Reflective,Medium,Intermediate,Problem Solving,Not Available
Machine Design,Experimental,No,Elective,20,Theoretical,PG,Visual,Low,Intermediate,Student-Centered,Not Available
Thermodynamics,Analytical,Yes,Core,40,Lab,UG,Global,Low,New,Peer Teaching,Not Available
Thermodynamics,Experimental,Yes,Core,10,Theoretical,UG,Auditory,Low,New,Global,Not Available
Thermodynamics,Experimental,No,Elective,20,Lab,PhD,Active,High,Intermediate,Didactic,Not Available
Heat Transfer,Experimental,No,Core,10,Lab,PhD,Reflective,Medium,New,Personal Model,Not Available
Computer-Aided Design (CAD),Design-oriented,No,Elective,10,Lab,PG,Field-Dependent,High,New,Group Approach,Not Available
Manufacturing Processes,Design-oriented,Yes,Core,40,Theoretical,PhD,Field-Dependent,Low,New,Personal Model,Not Available
Engineering Mechanics,Analytical,No,Elective,30,Theoretical,PhD,Global,High,Intermediate,Indirect Teaching,Not Available
Control Systems,Design-oriented,Yes,Elective,20,Lab,UG,Auditory,Medium,Experienced,Executive,Not Available
Machine Design,Design-oriented,Yes,Core,20,Theoretical,PG,Impulsive,Low,Intermediate,Didactic,Available
Control Systems,Analytical,Yes,Elective,10,Lab,PG,Abstract,Low,New,Local,Not Available
Manufacturing Processes,Design-oriented,No,Elective,40,Theoretical,PG,Impulsive,High,Experienced,Legislative,Not Available
Manufacturing Processes,Design-oriented,No,Elective,50,Theoretical,UG,Active,Medium,Intermediate,Expert,Not Available
Engineering Mechanics,Design-oriented,No,Core,30,Lab,PhD,Tactile,Low,Intermediate,Legislative,Available
Engineering Mechanics,Experimental,No,Elective,10,Theoretical,UG,Kinesthetic,High,New,Executive,Available
Manufacturing Processes,Design-oriented,Yes,Core,50,Lab,UG,Tactile,High,Experienced,Problem Solving,Not Available
Engineering Mechanics,Design-oriented,Yes,Core,30,Theoretical,PhD,Abstract,Medium,New,Conservative,Not Available
Mechatronics,Analytical,Yes,Core,40,Lab,UG,Tactile,Low,Experienced,Legislative,Available
Machine Design,Design-oriented,Yes,Elective,30,Lab,PhD,Kinesthetic,High,New,Socratic,Not Available
Machine Design,Design-oriented,No,Elective,10,Lab,PhD,Intuitive,Medium,Intermediate,Group Approach,Not Available
Computer-Aided Design (CAD),Experimental,No,Core,50,Lab,PG,Field-Dependent,Low,New,Executive,Available
Computer-Aided Design (CAD),Design-oriented,Yes,Core,40,Lab,PG,Visual,High,Experienced,Global,Available
Mechanics of Materials,Analytical,No,Core,40,Lab,PG,Active,Medium,Experienced,Global,Available
Mechanics of Materials,Design-oriented,Yes,Elective,10,Theoretical,PG,Impulsive,Low,Intermediate,Didactic,Not Available
Engineering Mechanics,Design-oriented,Yes,Elective,50,Theoretical,PG,Field-Dependent,Medium,Intermediate,Conservative,Not Available
Manufacturing Processes,Experimental,Yes,Core,30,Theoretical,UG,Impulsive,High,Experienced,Peer Teaching,Available
Manufacturing Processes,Design-oriented,No,Core,40,Lab,UG,Sequential,Low,Experienced,Legislative,Not Available
Fluid Mechanics,Design-oriented,No,Core,40,Theoretical,UG,Sequential,Medium,New,Socratic,Available
Fluid Mechanics,Analytical,Yes,Elective,30,Theoretical,PG,Intuitive,Medium,Experienced,Indirect Teaching,Not Available
Heat Transfer,Design-oriented,Yes,Core,50,Theoretical,UG,Intuitive,Medium,Experienced,Personal Model,Available
Thermodynamics,Experimental,Yes,Elective,30,Lab,PhD,Abstract,Medium,New,Personal Model,Available
Thermodynamics,Experimental,No,Elective,30,Lab,PhD,Abstract,High,New,Formal Authority,Available
Engineering Mechanics,Analytical,Yes,Core,30,Theoretical,PG,Auditory,Low,New,Direct Teaching,Available
Manufacturing Processes,Experimental,Yes,Elective,50,Lab,PG,Auditory,Medium,New,Student-Centered,Not Available
Fluid Mechanics,Analytical,Yes,Elective,10,Lab,UG,Field-Dependent,Low,New,Legislative,Available
Mechatronics,Experimental,Yes,Core,30,Lab,UG,Global,Low,New,Formal Authority,Not Available
Mechatronics,Experimental,Yes,Elective,20,Theoretical,PG,Tactile,Low,Intermediate,Facilitator,Not Available
Fluid Mechanics,Design-oriented,Yes,Core,20,Theoretical,PhD,Global,Medium,Experienced,Problem Solving,Not Available
Thermodynamics,Design-oriented,Yes,Core,40,Theoretical,PG,Kinesthetic,Medium,Experienced,Group Approach,Not Available
Manufacturing Processes,Design-oriented,Yes,Core,30,Theoretical,PhD,Reflective,High,New,Student-Centered,Available
Manufacturing Processes,Design-oriented,Yes,Elective,20,Lab,PhD,Auditory,Medium,Intermediate,Facilitator,Not Available
Engineering Mechanics,Design-oriented,Yes,Elective,10,Lab,PG,Auditory,Low,New,Facilitator,Not Available
Control Systems,Design-oriented,No,Core,10,Lab,PG,Field-Dependent,Low,New,Expert,Not Available
Mechatronics,Design-oriented,Yes,Core,50,Theoretical,UG,Tactile,Low,New,Direct Teaching,Available
Engineering Mechanics,Analytical,No,Core,30,Lab,PG,Tactile,Medium,Experienced,Didactic,Available
Fluid Mechanics,Analytical,Yes,Elective,40,Lab,UG,Reflective,High,Intermediate,Delegator,Available
Heat Transfer,Analytical,No,Elective,40,Lab,PhD,Abstract,Low,New,Student-Centered,Available
Machine Design,Experimental,No,Core,20,Theoretical,PhD,Global,High,Intermediate,Teacher-Centered,Available
Manufacturing Processes,Experimental,Yes,Elective,50,Lab,PhD,Sequential,High,Intermediate,Direct Teaching,Available
Manufacturing Processes,Experimental,Yes,Core,50,Theoretical,UG,Field-Independent,High,Intermediate,Conservative,Available
Mechatronics,Design-oriented,No,Core,10,Lab,UG,Concrete,Low,Experienced,Judicial,Not Available
Manufacturing Processes,Experimental,Yes,Elective,50,Theoretical,UG,Field-Independent,High,New,Expert,Not Available
Mechatronics,Experimental,No,Core,10,Theoretical,PhD,Kinesthetic,Medium,Intermediate,Formal Authority,Not Available
Fluid Mechanics,Design-oriented,No,Elective,10,Theoretical,UG,Abstract,High,Experienced,Student-Centered,Not Available
Thermodynamics,Analytical,Yes,Core,50,Theoretical,UG,Impulsive,Medium,Experienced,Socratic,Available
Machine Design,Experimental,Yes,Core,40,Theoretical,PG,Tactile,High,Experienced,Indirect Teaching,Not Available
Mechatronics,Design-oriented,No,Elective,50,Lab,PhD,Sequential,Low,Experienced,Group Approach,Not Available
Heat Transfer,Design-oriented,No,Elective,30,Theoretical,PG,Field-Dependent,High,Intermediate,Expert,Not Available
Mechatronics,Experimental,No,Elective,40,Lab,PhD,Kinesthetic,Low,New,Teacher-Centered,Available
Manufacturing Processes,Design-oriented,No,Elective,30,Lab,PG,Auditory,High,Experienced,Legislative,Not Available
Heat Transfer,Experimental,Yes,Core,20,Lab,PhD,Auditory,Low,Intermediate,Expert,Available
Computer-Aided Design (CAD),Experimental,No,Core,10,Theoretical,PhD,Visual,Low,New,Peer Teaching,Not Available
Mechatronics,Design-oriented,Yes,Core,20,Theoretical,PG,Concrete,Low,Experienced,Formal Authority,Available
Mechatronics,Experimental,Yes,Core,30,Lab,PG,Abstract,Medium,Experienced,Indirect Teaching,Not Available
Manufacturing Processes,Analytical,Yes,Core,20,Theoretical,UG,Tactile,Low,Experienced,Facilitative,Not Available
Manufacturing Processes,Analytical,No,Core,40,Theoretical,PhD,Concrete,Medium,Experienced,Conservative,Not Available
Thermodynamics,Design-oriented,Yes,Elective,10,Lab,UG,Concrete,Low,Intermediate,Conservative,Available
Mechatronics,Experimental,No,Core,50,Theoretical,PhD,Tactile,Low,New,Global,Available
Engineering Mechanics,Analytical,Yes,Core,30,Lab,PG,Concrete,Medium,New,Group Approach,Not Available
Fluid Mechanics,Analytical,Yes,Core,20,Lab,UG,Field-Independent,Low,Experienced,Discipline-Centered,Not Available
Fluid Mechanics,Experimental,No,Elective,40,Theoretical,PG,Sequential,Low,Intermediate,Formal Authority,Not Available
Thermodynamics,Analytical,Yes,Core,20,Theoretical,UG,Kinesthetic,Low,New,Socratic,Available
Engineering Mechanics,Analytical,No,Core,50,Lab,PhD,Global,Medium,Intermediate,Indirect Teaching,Available
Fluid Mechanics,Experimental,No,Elective,50,Theoretical,UG,Kinesthetic,High,Intermediate,Personal Model,Not Available
Control Systems,Analytical,Yes,Core,30,Lab,PG,Concrete,High,Intermediate,Teacher-Centered,Not Available
Mechanics of Materials,Analytical,Yes,Elective,50,Lab,UG,Intuitive,High,Experienced,Expert,Available
Engineering Mechanics,Analytical,Yes,Core,10,Theoretical,PG,Sequential,Medium,Experienced,Global,Not Available
Heat Transfer,Experimental,No,Core,40,Theoretical,PG,Impulsive,Low,Intermediate,Direct Teaching,Not Available
Thermodynamics,Analytical,Yes,Core,30,Theoretical,PhD,Active,High,Intermediate,Expert,Not Available
Computer-Aided Design (CAD),Analytical,No,Core,20,Theoretical,UG,Auditory,Low,New,Peer Teaching,Available
Computer-Aided Design (CAD),Analytical,No,Elective,50,Lab,PhD,Field-Independent,High,New,Socratic,Not Available
Mechatronics,Design-oriented,No,Elective,30,Lab,PhD,Global,High,Experienced,Teacher-Centered,Available
Control Systems,Analytical,Yes,Elective,30,Theoretical,PG,Sequential,Medium,Intermediate,Socratic,Available
Computer-Aided Design (CAD),Experimental,Yes,Core,20,Lab,PG,Concrete,High,Experienced,Delegator,Available
Mechanics of Materials,Experimental,Yes,Core,40,Theoretical,PG,Tactile,High,Experienced,Direct Teaching,Not Available
Computer-Aided Design (CAD),Analytical,Yes,Core,40,Theoretical,PG,Field-Independent,High,Experienced,Executive,Available
Computer-Aided Design (CAD),Analytical,No,Core,30,Lab,UG,Auditory,High,Experienced,Discipline-Centered,Available
Machine Design,Analytical,No,Core,50,Lab,PhD,Field-Independent,High,New,Liberal,Available
Mechanics of Materials,Analytical,Yes,Elective,50,Theoretical,PhD,Intuitive,Low,Experienced,Direct Teaching,Available
Machine Design,Analytical,No,Elective,40,Lab,PhD,Global,Low,Intermediate,Judicial,Available
Fluid Mechanics,Design-oriented,Yes,Elective,10,Theoretical,PG,Concrete,Low,Experienced,Direct Teaching,Not Available
Heat Transfer,Analytical,Yes,Core,30,Lab,PG,Reflective,Medium,New,Peer Teaching,Not Available
Heat Transfer,Design-oriented,Yes,Elective,50,Lab,UG,Field-Dependent,Low,Experienced,Formal Authority,Available
Machine Design,Analytical,Yes,Core,10,Lab,PhD,Sequential,High,New,Discipline-Centered,Not Available
Mechatronics,Design-oriented,No,Elective,20,Lab,PG,Visual,High,Experienced,Judicial,Not Available
Heat Transfer,Analytical,Yes,Core,50,Theoretical,PhD,Field-Dependent,Low,New,Personal Model,Available
Engineering Mechanics,Design-oriented,Yes,Core,10,Lab,PG,Active,Medium,Experienced,Liberal,Available
Manufacturing Processes,Analytical,No,Core,40,Lab,PG,Global,High,Experienced,Student-Centered,Not Available
Machine Design,Experimental,Yes,Core,50,Lab,UG,Kinesthetic,High,New,Discipline-Centered,Not Available
Thermodynamics,Analytical,No,Core,20,Lab,PhD,Active,Medium,Experienced,Expert,Available
Mechanics of Materials,Experimental,No,Elective,20,Lab,PhD,Auditory,Low,Intermediate,Local,Available
Control Systems,Design-oriented,Yes,Elective,40,Lab,PG,Impulsive,Low,Intermediate,Indirect Teaching,Available
Manufacturing Processes,Experimental,No,Core,10,Lab,PhD,Impulsive,Low,New,Judicial,Available
Manufacturing Processes,Analytical,No,Core,10,Theoretical,PG,Concrete,Low,New,Direct Teaching,Available
Mechanics of Materials,Design-oriented,Yes,Elective,20,Lab,PhD,Tactile,High,New,Expert,Not Available
Thermodynamics,Design-oriented,No,Core,40,Lab,PG,Concrete,High,Intermediate,Facilitative,Not Available
Machine Design,Design-oriented,No,Core,50,Theoretical,PhD,Visual,Medium,New,Conservative,Available
Mechatronics,Design-oriented,No,Elective,50,Theoretical,UG,Reflective,Medium,Experienced,Group Approach,Available
Manufacturing Processes,Analytical,Yes,Elective,10,Theoretical,UG,Sequential,Low,Intermediate,Formal Authority,Available
Machine Design,Design-oriented,No,Elective,30,Theoretical,UG,Field-Dependent,Medium,Intermediate,Indirect Teaching,Not Available
Control Systems,Analytical,Yes,Elective,30,Theoretical,PhD,Auditory,High,New,Delegator,Not Available
Thermodynamics,Experimental,Yes,Core,10,Theoretical,PhD,Abstract,Medium,New,Didactic,Not Available
Mechanics of Materials,Experimental,Yes,Elective,40,Theoretical,UG,Concrete,High,New,Liberal,Available
Mechanics of Materials,Design-oriented,No,Core,10,Lab,PG,Field-Independent,High,Intermediate,Group Approach,Available
Computer-Aided Design (CAD),Design-oriented,No,Elective,10,Lab,UG,Auditory,Medium,Intermediate,Indirect Teaching,Not Available
Manufacturing Processes,Design-oriented,No,Elective,10,Theoretical,UG,Reflective,Medium,New,Legislative,Available
Control Systems,Experimental,Yes,Elective,50,Theoretical,PhD,Intuitive,Medium,Experienced,Teacher-Centered,Available
Thermodynamics,Design-oriented,No,Core,50,Theoretical,PhD,Global,High,Intermediate,Personal Model,Available
Fluid Mechanics,Analytical,No,Core,20,Theoretical,UG,Global,High,Intermediate,Formal Authority,Not Available
Fluid Mechanics,Design-oriented,Yes,Elective,10,Lab,UG,Tactile,Medium,Intermediate,Indirect Teaching,Not Available
Thermodynamics,Design-oriented,Yes,Core,30,Theoretical,PhD,Auditory,High,Intermediate,Problem Solving,Available
Manufacturing Processes,Analytical,No,Core,50,Theoretical,UG,Field-Independent,High,Intermediate,Local,Not Available
Mechatronics,Analytical,Yes,Core,20,Theoretical,PG,Sequential,Low,New,Didactic,Not Available
Fluid Mechanics,Experimental,No,Core,20,Lab,PG,Global,High,New,Peer Teaching,Available
Heat Transfer,Design-oriented,Yes,Core,50,Theoretical,PhD,Impulsive,High,Intermediate,Liberal,Not Available
Mechatronics,Experimental,No,Core,50,Lab,PhD,Kinesthetic,Low,Intermediate,Student-Centered,Not Available
Computer-Aided Design (CAD),Design-oriented,No,Core,30,Lab,PhD,Abstract,Medium,Experienced,Liberal,Not Available
Computer-Aided Design (CAD),Analytical,No,Elective,50,Lab,UG,Concrete,High,Intermediate,Socratic,Available
Engineering Mechanics,Analytical,Yes,Core,10,Theoretical,UG,Intuitive,High,Intermediate,Global,Available
Heat Transfer,Experimental,Yes,Elective,30,Lab,UG,Auditory,Low,Experienced,Student-Centered,Available
Thermodynamics,Experimental,Yes,Elective,30,Lab,PG,Global,Medium,New,Problem Solving,Available
Machine Design,Design-oriented,Yes,Core,40,Lab,PG,Visual,High,Experienced,Formal Authority,Not Available
Computer-Aided Design (CAD),Design-oriented,No,Core,50,Lab,PG,Active,High,Experienced,Peer Teaching,Not Available
Fluid Mechanics,Analytical,Yes,Core,10,Theoretical,PhD,Abstract,High,Experienced,Expert,Not Available
Engineering Mechanics,Design-oriented,Yes,Core,10,Theoretical,PG,Reflective,Low,Experienced,Teacher-Centered,Available
Computer-Aided Design (CAD),Analytical,No,Elective,30,Lab,PhD,Reflective,Medium,Intermediate,Problem Solving,Available
Mechatronics,Experimental,Yes,Core,30,Theoretical,PhD,Intuitive,Low,New,Formal Authority,Not Available
Control Systems,Experimental,Yes,Elective,20,Lab,PG,Reflective,Low,Intermediate,Local,Not Available
Machine Design,Experimental,Yes,Core,40,Theoretical,PhD,Active,High,Intermediate,Socratic,Not Available
Machine Design,Analytical,No,Elective,20,Lab,UG,Sequential,Medium,Experienced,Conservative,Not Available
Machine Design,Design-oriented,No,Core,50,Theoretical,PhD,Sequential,High,New,Conservative,Not Available
Mechanics of Materials,Experimental,No,Elective,30,Lab,UG,Active,Low,Intermediate,Expert,Not Available
Control Systems,Experimental,Yes,Core,20,Theoretical,PhD,Tactile,Low,Intermediate,Facilitator,Not Available
Thermodynamics,Analytical,Yes,Core,20,Theoretical,PG,Kinesthetic,Medium,Experienced,Facilitative,Available
Mechatronics,Experimental,No,Core,40,Theoretical,UG,Global,Low,Intermediate,Facilitator,Available
Engineering Mechanics,Design-oriented,No,Elective,30,Theoretical,PhD,Visual,Medium,New,Liberal,Not Available
Machine Design,Design-oriented,Yes,Core,20,Theoretical,PG,Global,High,Intermediate,Conservative,Not Available
Manufacturing Processes,Design-oriented,No,Core,10,Lab,UG,Field-Dependent,High,Experienced,Legislative,Not Available
Engineering Mechanics,Design-oriented,Yes,Elective,40,Theoretical,PG,Visual,Low,New,Direct Teaching,Available
Manufacturing Processes,Analytical,Yes,Core,20,Lab,UG,Field-Dependent,High,Intermediate,Executive,Available
Heat Transfer,Analytical,Yes,Elective,20,Lab,PG,Reflective,Low,New,Personal Model,Not Available
Thermodynamics,Experimental,No,Core,50,Theoretical,PG,Visual,Low,Intermediate,Executive,Not Available
Engineering Mechanics,Design-oriented,No,Elective,40,Theoretical,UG,Kinesthetic,Low,Intermediate,Executive,Not Available
Engineering Mechanics,Experimental,Yes,Core,10,Lab,PhD,Sequential,Low,New,Direct Teaching,Available
Fluid Mechanics,Experimental,No,Elective,10,Theoretical,UG,Tactile,Low,New,Discipline-Centered,Available
Heat Transfer,Analytical,No,Core,10,Lab,PG,Global,Medium,Experienced,Student-Centered,Not Available
Mechatronics,Experimental,No,Elective,40,Lab,UG,Global,Medium,New,Formal Authority,Not Available
Mechanics of Materials,Design-oriented,No,Elective,20,Lab,PG,Sequential,High,Intermediate,Legislative,Available
Machine Design,Design-oriented,No,Elective,40,Lab,PG,Intuitive,High,Experienced,Indirect Teaching,Not Available
Computer-Aided Design (CAD),Analytical,Yes,Core,50,Lab,PG,Concrete,Medium,Intermediate,Indirect Teaching,Not Available
Manufacturing Processes,Analytical,No,Elective,40,Lab,PhD,Tactile,Medium,New,Direct Teaching,Available
Thermodynamics,Experimental,Yes,Elective,20,Lab,PhD,Reflective,High,New,Didactic,Available
Machine Design,Experimental,Yes,Elective,40,Lab,UG,Tactile,Low,Experienced,Liberal,Available
Thermodynamics,Design-oriented,Yes,Core,10,Lab,UG,Sequential,Medium,New,Personal Model,Not Available
Heat Transfer,Analytical,No,Core,50,Lab,UG,Kinesthetic,Medium,New,Delegator,Not Available
Control Systems,Analytical,No,Core,50,Lab,PG,Reflective,High,Experienced,Global,Not Available
Manufacturing Processes,Design-oriented,No,Core,20,Theoretical,UG,Field-Independent,Medium,Experienced,Personal Model,Available
Mechatronics,Analytical,Yes,Elective,10,Theoretical,UG,Field-Dependent,Medium,Intermediate,Conservative,Not Available
Mechanics of Materials,Experimental,No,Elective,20,Lab,PhD,Tactile,Medium,Experienced,Student-Centered,Not Available
Engineering Mechanics,Analytical,Yes,Core,50,Theoretical,PhD,Field-Dependent,Low,Experienced,Personal Model,Available
Mechatronics,Analytical,No,Elective,50,Lab,PG,Field-Independent,High,Experienced,Legislative,Not Available
Control Systems,Analytical,Yes,Elective,10,Lab,PhD,Field-Independent,Low,Intermediate,Formal Authority,Not Available
Control Systems,Experimental,Yes,Elective,30,Theoretical,UG,Intuitive,Low,Intermediate,Peer Teaching,Not Available
Machine Design,Experimental,No,Core,40,Lab,UG,Impulsive,Low,New,Formal Authority,Available
Thermodynamics,Experimental,Yes,Elective,50,Lab,UG,Field-Independent,Medium,Experienced,Local,Not Available
Manufacturing Processes,Design-oriented,Yes,Elective,10,Theoretical,PhD,Tactile,High,Intermediate,Formal Authority,Available
Engineering Mechanics,Design-oriented,Yes,Core,50,Lab,PhD,Field-Dependent,High,Intermediate,Didactic,Available
Control Systems,Design-oriented,Yes,Core,50,Theoretical,PG,Kinesthetic,Medium,Intermediate,Liberal,Available
Machine Design,Design-oriented,No,Elective,30,Theoretical,PG,Kinesthetic,Medium,Experienced,Direct Teaching,Available
Thermodynamics,Experimental,No,Core,40,Theoretical,PG,Impulsive,Medium,New,Conservative,Not Available
Machine Design,Experimental,No,Elective,40,Lab,PhD,Reflective,Low,Experienced,Problem Solving,Not Available
Thermodynamics,Experimental,Yes,Core,10,Lab,PG,Tactile,High,Intermediate,Student-Centered,Not Available
Mechanics of Materials,Analytical,No,Elective,50,Lab,PG,Kinesthetic,Medium,New,Facilitative,Not Available
Machine Design,Design-oriented,No,Elective,40,Theoretical,PG,Concrete,High,New,Facilitative,Not Available
Thermodynamics,Design-oriented,Yes,Core,30,Lab,UG,Auditory,High,Experienced,Expert,Not Available
Control Systems,Analytical,Yes,Elective,50,Lab,PG,Concrete,Medium,Experienced,Expert,Not Available
Mechanics of Materials,Analytical,Yes,Elective,40,Theoretical,PhD,Concrete,High,Experienced,Executive,Available
Control Systems,Design-oriented,Yes,Core,30,Theoretical,UG,Global,High,Intermediate,Teacher-Centered,Not Available
Thermodynamics,Analytical,Yes,Core,40,Lab,PG,Reflective,Low,Intermediate,Socratic,Not Available
Engineering Mechanics,Design-oriented,Yes,Core,30,Theoretical,PG,Kinesthetic,Medium,New,Student-Centered,Not Available
Engineering Mechanics,Experimental,Yes,Core,10,Lab,UG,Intuitive,High,Experienced,Judicial,Not Available
Computer-Aided Design (CAD),Analytical,No,Core,40,Theoretical,PhD,Intuitive,High,Intermediate,Judicial,Available
Fluid Mechanics,Analytical,Yes,Core,50,Lab,PhD,Intuitive,Low,New,Local,Not Available
Computer-Aided Design (CAD),Experimental,Yes,Core,40,Lab,UG,Concrete,High,New,Personal Model,Not Available
Fluid Mechanics,Analytical,Yes,Elective,40,Lab,UG,Field-Independent,Medium,Intermediate,Delegator,Not Available
Manufacturing Processes,Analytical,No,Core,30,Theoretical,PG,Impulsive,Medium,Intermediate,Executive,Available
Thermodynamics,Design-oriented,No,Core,40,Lab,UG,Impulsive,High,Experienced,Delegator,Not Available
Control Systems,Experimental,Yes,Elective,40,Lab,PG,Visual,High,Experienced,Delegator,Not Available
Control Systems,Experimental,No,Elective,30,Lab,PG,Sequential,Medium,Intermediate,Discipline-Centered,Not Available
Manufacturing Processes,Experimental,Yes,Elective,50,Theoretical,UG,Concrete,Medium,Intermediate,Peer Teaching,Available
Engineering Mechanics,Design-oriented,Yes,Core,40,Lab,PG,Intuitive,High,Experienced,Delegator,Not Available
